ID,metapredict_scores
disprot|DP00004r002 pos=134-170 term=IDPO:00050 ec=ECO:0006206 pmid=9452503,0.2855945945945946
disprot|DP00005r018 pos=1-36 term=IDPO:00050 ec=ECO:0006204 pmid=10759866,0.5957222222222223
disprot|DP00008r023 pos=1-65 term=IDPO:00050 ec=ECO:0006204 pmid=10329190,0.7820615384615385
disprot|DP00016r008 pos=9-84 term=IDPO:00050 ec=ECO:0006165 pmid=8876165,0.22780263157894734
disprot|DP00018r026 pos=25-93 term=IDPO:00050 ec=ECO:0005670 pmid=8684460,0.37424637681159423
disprot|DP00024r006 pos=1-40 term=IDPO:00050 ec=ECO:0006204 pmid=17715947,0.716275
disprot|DP00025r003 pos=746-858 term=IDPO:00050 ec=ECO:0006204 pmid=8576127,0.8330624999999999
disprot|DP00027r004 pos=41-97 term=IDPO:00050 ec=ECO:0006165 pmid=9095196,0.17250877192982456
disprot|DP00028r045 pos=51-67 term=IDPO:00050 ec=ECO:0005670 pmid=17368478,0.6169411764705882
disprot|DP00040r005 pos=51-75 term=IDPO:00050 ec=ECO:0006165 pmid=9253416,0.9149200000000001
disprot|DP00047r003 pos=1-169 term=IDPO:00050 ec=ECO:0006204 pmid=10394626,0.8528125
disprot|DP00049r007 pos=487-606 term=IDPO:00050 ec=ECO:0006198 pmid=10606515,0.7687125
disprot|DP00053r002 pos=1-101 term=IDPO:00050 ec=ECO:0006220 pmid=9016717,0.0848125
disprot|DP00057r004 pos=1-62 term=IDPO:00050 ec=ECO:0006204 pmid=2738040,0.9245483870967742
disprot|DP00065r005 pos=569-1123 term=IDPO:00050 ec=ECO:0006204 pmid=9813018,0.2277625
disprot|DP00068r020 pos=2-83 term=IDPO:00050 ec=ECO:0006204 pmid=9671503,0.172075
disprot|DP00069r007 pos=40-67 term=IDPO:00050 ec=ECO:0006204 pmid=9852083,0.3404642857142857
disprot|DP00070r014 pos=42-92 term=IDPO:00050 ec=ECO:0006289 pmid=20524659,0.8289803921568627
disprot|DP00070r018 pos=1-140 term=IDPO:00050 ec=ECO:0006204 pmid=27628239,0.668975
disprot|DP00071r002 pos=1-156 term=IDPO:00050 ec=ECO:0006204 pmid=9425125,0.8424375
disprot|DP00074r002 pos=1-184 term=IDPO:00050 ec=ECO:0006204 pmid=11595744,0.6279625
disprot|DP00074r013 pos=287-305 term=IDPO:00050 ec=ECO:0006165 pmid=22275375,0.8272631578947368
disprot|DP00077r012 pos=75-103 term=IDPO:00050 ec=ECO:0006198 pmid=9642072,0.723448275862069
disprot|DP00081r002 pos=11-77 term=IDPO:00050 ec=ECO:0006165 pmid=9741622,0.3958955223880597
disprot|DP00082r002 pos=393-490 term=IDPO:00050 ec=ECO:0006165 pmid=14675538,0.2587375
disprot|DP00082r013 pos=35-49 term=IDPO:00050 ec=ECO:0006165 pmid=36213119,0.8123333333333334
disprot|DP00083r011 pos=117-127 term=IDPO:00050 ec=ECO:0006165 pmid=22195967,0.7145454545454546
disprot|DP00086r040 pos=41-62 term=IDPO:00050 ec=ECO:0005670 pmid=25216154,0.6794090909090909
disprot|DP00086r047 pos=14-60 term=IDPO:00050 ec=ECO:0006165 pmid=23063560,0.541936170212766
disprot|DP00086r051 pos=366-386 term=IDPO:00050 ec=ECO:0006165 pmid=25579814,0.7980952380952382
disprot|DP00086r057 pos=367-388 term=IDPO:00050 ec=ECO:0005670 pmid=10876243,0.7908636363636364
disprot|DP00086r064 pos=1-39 term=IDPO:00050 ec=ECO:0006165 pmid=19217391,0.7082564102564103
disprot|DP00092r019 pos=373-466 term=IDPO:00050 ec=ECO:0006204 pmid=24191726,0.44768749999999996
disprot|DP00092r042 pos=388-466 term=IDPO:00050 ec=ECO:0001183 pmid=24191726,0.40616455696202536
disprot|DP00111r003 pos=244-301 term=IDPO:00050 ec=ECO:0006165 pmid=15994560,0.8175172413793103
disprot|DP00113r003 pos=1-93 term=IDPO:00050 ec=ECO:0006204 pmid=9326367,0.450125
disprot|DP00116r002 pos=1-49 term=IDPO:00050 ec=ECO:0006165 pmid=8218200,0.44940816326530614
disprot|DP00118r008 pos=407-431 term=IDPO:00050 ec=ECO:0006204 pmid=8243650,0.89052
disprot|DP00118r010 pos=1-449 term=IDPO:00050 ec=ECO:0001249 pmid=2387861,0.2867375
disprot|DP00123r015 pos=372-395 term=IDPO:00050 ec=ECO:0006165 pmid=19781520,0.691125
disprot|DP00132r008 pos=1-395 term=IDPO:00050 ec=ECO:0006165 pmid=6480588,0.3940125
disprot|DP00134r014 pos=527-541 term=IDPO:00050 ec=ECO:0006165 pmid=21642970,0.9441333333333333
disprot|DP00134r017 pos=529-542 term=IDPO:00050 ec=ECO:0005670 pmid=26374839,0.9440714285714286
disprot|DP00136r019 pos=1-219 term=IDPO:00050 ec=ECO:0006204 pmid=9109385,0.5548
disprot|DP00137r009 pos=50-65 term=IDPO:00050 ec=ECO:0005670 pmid=1517214,0.737375
disprot|DP00159r003 pos=812-884 term=IDPO:00050 ec=ECO:0000269 pmid=11121423,0.6064109589041096
disprot|DP00159r019 pos=784-852 term=IDPO:00050 ec=ECO:0005670 pmid=19759396,0.7675072463768116
disprot|DP00173r007 pos=12-100 term=IDPO:00050 ec=ECO:0006165 pmid=11371636,0.17422500000000002
disprot|DP00175r009 pos=40-50 term=IDPO:00050 ec=ECO:0006220 pmid=11713476,0.7411818181818183
disprot|DP00175r014 pos=13-25 term=IDPO:00050 ec=ECO:0006220 pmid=11713476,0.7651538461538461
disprot|DP00177r007 pos=945-961 term=IDPO:00050 ec=ECO:0006165 pmid=12732728,0.2998823529411765
disprot|DP00179r012 pos=2-32 term=IDPO:00050 ec=ECO:0005670 pmid=10655612,0.5569032258064516
disprot|DP00180r004 pos=146-222 term=IDPO:00050 ec=ECO:0006204 pmid=9089808,0.5032077922077922
disprot|DP00187r014 pos=23-106 term=IDPO:00050 ec=ECO:0006204 pmid=19913031,0.909225
disprot|DP00189r009 pos=2-14 term=IDPO:00050 ec=ECO:0006165 pmid=10339411,0.7537692307692307
disprot|DP00228r003 pos=724-760 term=IDPO:00050 ec=ECO:0006204 pmid=12620094,0.8545405405405405
disprot|DP00230r003 pos=361-435 term=IDPO:00050 ec=ECO:0006165 pmid=14623073,0.6937333333333333
disprot|DP00245r002 pos=91-112 term=IDPO:00050 ec=ECO:0006220 pmid=15692043,0.7927727272727272
disprot|DP00249r002 pos=103-161 term=IDPO:00050 ec=ECO:0006204 pmid=2933134,0.2833220338983051
