ID,metapredict_scores
disprot|DP00004r002 pos=134-170 term=IDPO:00050 ec=ECO:0006206 pmid=9452503,82.69702702702702
disprot|DP00005r018 pos=1-36 term=IDPO:00050 ec=ECO:0006204 pmid=10759866,74.54558333333334
disprot|DP00008r023 pos=1-65 term=IDPO:00050 ec=ECO:0006204 pmid=10329190,62.09798461538462
disprot|DP00016r008 pos=9-84 term=IDPO:00050 ec=ECO:0006165 pmid=8876165,83.21519736842106
disprot|DP00018r026 pos=25-93 term=IDPO:00050 ec=ECO:0005670 pmid=8684460,76.48201449275362
disprot|DP00024r006 pos=1-40 term=IDPO:00050 ec=ECO:0006204 pmid=17715947,57.98992499999999
disprot|DP00025r003 pos=746-858 term=IDPO:00050 ec=ECO:0006204 pmid=8576127,55.4529375
disprot|DP00027r004 pos=41-97 term=IDPO:00050 ec=ECO:0006165 pmid=9095196,87.31687719298246
disprot|DP00028r045 pos=51-67 term=IDPO:00050 ec=ECO:0005670 pmid=17368478,72.97423529411765
disprot|DP00040r005 pos=51-75 term=IDPO:00050 ec=ECO:0006165 pmid=9253416,65.01424
disprot|DP00047r003 pos=1-169 term=IDPO:00050 ec=ECO:0006204 pmid=10394626,55.2554125
disprot|DP00049r007 pos=487-606 term=IDPO:00050 ec=ECO:0006198 pmid=10606515,86.9446125
disprot|DP00053r002 pos=1-101 term=IDPO:00050 ec=ECO:0006220 pmid=9016717,91.98446249999999
disprot|DP00057r004 pos=1-62 term=IDPO:00050 ec=ECO:0006204 pmid=2738040,50.79058064516129
disprot|DP00065r005 pos=569-1123 term=IDPO:00050 ec=ECO:0006204 pmid=9813018,87.667475
disprot|DP00068r020 pos=2-83 term=IDPO:00050 ec=ECO:0006204 pmid=9671503,92.002825
disprot|DP00069r007 pos=40-67 term=IDPO:00050 ec=ECO:0006204 pmid=9852083,84.90078571428572
disprot|DP00070r014 pos=42-92 term=IDPO:00050 ec=ECO:0006289 pmid=20524659,56.49321568627451
disprot|DP00070r018 pos=1-140 term=IDPO:00050 ec=ECO:0006204 pmid=27628239,66.458875
disprot|DP00071r002 pos=1-156 term=IDPO:00050 ec=ECO:0006204 pmid=9425125,55.28133749999999
disprot|DP00074r002 pos=1-184 term=IDPO:00050 ec=ECO:0006204 pmid=11595744,64.1757875
disprot|DP00074r013 pos=287-305 term=IDPO:00050 ec=ECO:0006165 pmid=22275375,57.94678947368421
disprot|DP00077r012 pos=75-103 term=IDPO:00050 ec=ECO:0006198 pmid=9642072,67.60110344827586
disprot|DP00081r002 pos=11-77 term=IDPO:00050 ec=ECO:0006165 pmid=9741622,64.11840298507462
disprot|DP00082r002 pos=393-490 term=IDPO:00050 ec=ECO:0006165 pmid=14675538,74.5723625
disprot|DP00082r013 pos=35-49 term=IDPO:00050 ec=ECO:0006165 pmid=36213119,59.296866666666666
disprot|DP00083r011 pos=117-127 term=IDPO:00050 ec=ECO:0006165 pmid=22195967,59.441545454545455
disprot|DP00086r040 pos=41-62 term=IDPO:00050 ec=ECO:0005670 pmid=25216154,69.95400000000001
disprot|DP00086r047 pos=14-60 term=IDPO:00050 ec=ECO:0006165 pmid=23063560,67.00685106382979
disprot|DP00086r051 pos=366-386 term=IDPO:00050 ec=ECO:0006165 pmid=25579814,61.2484761904762
disprot|DP00086r057 pos=367-388 term=IDPO:00050 ec=ECO:0005670 pmid=10876243,62.48268181818182
disprot|DP00086r064 pos=1-39 term=IDPO:00050 ec=ECO:0006165 pmid=19217391,67.62661538461539
disprot|DP00092r019 pos=373-466 term=IDPO:00050 ec=ECO:0006204 pmid=24191726,72.1815875
disprot|DP00092r042 pos=388-466 term=IDPO:00050 ec=ECO:0001183 pmid=24191726,75.10743037974683
disprot|DP00111r003 pos=244-301 term=IDPO:00050 ec=ECO:0006165 pmid=15994560,56.934724137931035
disprot|DP00113r003 pos=1-93 term=IDPO:00050 ec=ECO:0006204 pmid=9326367,78.3173625
disprot|DP00116r002 pos=1-49 term=IDPO:00050 ec=ECO:0006165 pmid=8218200,72.74422448979593
disprot|DP00118r008 pos=407-431 term=IDPO:00050 ec=ECO:0006204 pmid=8243650,53.88052
disprot|DP00118r010 pos=1-449 term=IDPO:00050 ec=ECO:0001249 pmid=2387861,75.16342499999999
disprot|DP00123r015 pos=372-395 term=IDPO:00050 ec=ECO:0006165 pmid=19781520,68.764
disprot|DP00132r008 pos=1-395 term=IDPO:00050 ec=ECO:0006165 pmid=6480588,74.24357499999999
disprot|DP00134r014 pos=527-541 term=IDPO:00050 ec=ECO:0006165 pmid=21642970,52.7898
disprot|DP00134r017 pos=529-542 term=IDPO:00050 ec=ECO:0005670 pmid=26374839,53.328500000000005
disprot|DP00136r019 pos=1-219 term=IDPO:00050 ec=ECO:0006204 pmid=9109385,75.356075
disprot|DP00137r009 pos=50-65 term=IDPO:00050 ec=ECO:0005670 pmid=1517214,66.041875
disprot|DP00159r003 pos=812-884 term=IDPO:00050 ec=ECO:0000269 pmid=11121423,72.03031506849315
disprot|DP00159r019 pos=784-852 term=IDPO:00050 ec=ECO:0005670 pmid=19759396,68.82992753623189
disprot|DP00173r007 pos=12-100 term=IDPO:00050 ec=ECO:0006165 pmid=11371636,76.8812
disprot|DP00175r009 pos=40-50 term=IDPO:00050 ec=ECO:0006220 pmid=11713476,62.703272727272726
disprot|DP00175r014 pos=13-25 term=IDPO:00050 ec=ECO:0006220 pmid=11713476,63.36884615384616
disprot|DP00177r007 pos=945-961 term=IDPO:00050 ec=ECO:0006165 pmid=12732728,87.83164705882352
disprot|DP00179r012 pos=2-32 term=IDPO:00050 ec=ECO:0005670 pmid=10655612,78.9923870967742
disprot|DP00180r004 pos=146-222 term=IDPO:00050 ec=ECO:0006204 pmid=9089808,77.14732467532468
disprot|DP00187r014 pos=23-106 term=IDPO:00050 ec=ECO:0006204 pmid=19913031,49.5543
disprot|DP00189r009 pos=2-14 term=IDPO:00050 ec=ECO:0006165 pmid=10339411,59.849230769230765
disprot|DP00228r003 pos=724-760 term=IDPO:00050 ec=ECO:0006204 pmid=12620094,64.59678378378379
disprot|DP00230r003 pos=361-435 term=IDPO:00050 ec=ECO:0006165 pmid=14623073,62.68115999999999
disprot|DP00245r002 pos=91-112 term=IDPO:00050 ec=ECO:0006220 pmid=15692043,63.11027272727272
