ID,metapredict_scores
disprot|DP00006r011 pos=1-104 term=IDPO:00056 ec=ECO:0001249 pmid=23066867,90.1809
disprot|DP00031r012 pos=1-41 term=IDPO:00056 ec=ECO:0005670 pmid=10756111,63.895146341463416
disprot|DP00166r011 pos=167-210 term=IDPO:00056 ec=ECO:0006224 pmid=32521240,77.2181590909091
disprot|DP00250r038 pos=19-212 term=IDPO:00056 ec=ECO:0007691 pmid=11290330,57.7615
disprot|DP00288r050 pos=41-57 term=IDPO:00056 ec=ECO:0005670 pmid=20603017,82.57529411764706
disprot|DP00340r002 pos=1-137 term=IDPO:00056 ec=ECO:0006236 pmid=7563063,72.39345
disprot|DP00358r002 pos=123-160 term=IDPO:00056 ec=ECO:0006204 pmid=10543959,62.09123684210527
disprot|DP00410r021 pos=44-114 term=IDPO:00056 ec=ECO:0001191 pmid=21799007,87.10411267605633
disprot|DP00412r003 pos=17-31 term=IDPO:00056 ec=ECO:0006165 pmid=15238634,60.0346
disprot|DP00464r002 pos=273-284 term=IDPO:00056 ec=ECO:0006220 pmid=10647180,58.44533333333333
disprot|DP00485r014 pos=9-24 term=IDPO:00056 ec=ECO:0006220 pmid=20164921,74.13075
disprot|DP00486r007 pos=198-217 term=IDPO:00056 ec=ECO:0006220 pmid=20164921,58.9875
disprot|DP00653r002 pos=799-814 term=IDPO:00056 ec=ECO:0006165 pmid=15272303,71.8795625
disprot|DP00656r022 pos=31-137 term=IDPO:00056 ec=ECO:0006165 pmid=20200158,66.8711
disprot|DP00728r010 pos=4-47 term=IDPO:00056 ec=ECO:0006220 pmid=11057674,60.715590909090906
disprot|DP00728r013 pos=115-125 term=IDPO:00056 ec=ECO:0006220 pmid=11057674,55.11254545454546
disprot|DP00728r016 pos=68-89 term=IDPO:00056 ec=ECO:0006220 pmid=11057674,75.33195454545454
disprot|DP00728r019 pos=142-159 term=IDPO:00056 ec=ECO:0006220 pmid=11057674,63.27572222222222
disprot|DP00730r008 pos=51-62 term=IDPO:00056 ec=ECO:0006165 pmid=17766386,61.98641666666666
disprot|DP00775r003 pos=130-150 term=IDPO:00056 ec=ECO:0006220 pmid=12429733,70.59042857142857
disprot|DP00775r006 pos=506-586 term=IDPO:00056 ec=ECO:0006214 pmid=22927432,87.3416
disprot|DP00793r003 pos=102-115 term=IDPO:00056 ec=ECO:0006165 pmid=14988012,60.67714285714286
disprot|DP00839r007 pos=253-285 term=IDPO:00056 ec=ECO:0006165 pmid=20471946,69.89263636363636
disprot|DP00935r007 pos=47-58 term=IDPO:00056 ec=ECO:0006165 pmid=11941504,51.66766666666667
disprot|DP01201r002 pos=1-30 term=IDPO:00056 ec=ECO:0006204 pmid=15943811,62.16733333333333
disprot|DP01201r008 pos=60-147 term=IDPO:00056 ec=ECO:0006204 pmid=15943811,68.4375625
disprot|DP01248r002 pos=1-125 term=IDPO:00056 ec=ECO:0006204 pmid=20377183,81.167075
disprot|DP01322r002 pos=396-591 term=IDPO:00056 ec=ECO:0006165 pmid=12736686,57.697900000000004
disprot|DP01426r010 pos=346-370 term=IDPO:00056 ec=ECO:0006220 pmid=22569856,63.80128
disprot|DP01580r002 pos=69-86 term=IDPO:00056 ec=ECO:0006196 pmid=17008721,62.33533333333334
disprot|DP01580r004 pos=97-114 term=IDPO:00056 ec=ECO:0006196 pmid=17008721,60.83194444444444
disprot|DP01588r004 pos=301-322 term=IDPO:00056 ec=ECO:0006165 pmid=12606549,75.14136363636364
disprot|DP01629r012 pos=347-395 term=IDPO:00056 ec=ECO:0006220 pmid=17882165,86.01522448979593
disprot|DP01647r002 pos=479-518 term=IDPO:00056 ec=ECO:0006220 pmid=21733845,69.162025
disprot|DP01808r002 pos=90-120 term=IDPO:00056 ec=ECO:0006165 pmid=24604825,62.25664516129032
disprot|DP02143r002 pos=90-118 term=IDPO:00056 ec=ECO:0006220 pmid=16977336,88.46610344827586
disprot|DP02546r006 pos=153-170 term=IDPO:00056 ec=ECO:0006165 pmid=17085435,69.477
disprot|DP02548r001 pos=22-110 term=IDPO:00056 ec=ECO:0006165 pmid=30573682,74.466
disprot|DP02627r003 pos=242-258 term=IDPO:00056 ec=ECO:0006220 pmid=24997597,64.42241176470588
disprot|DP02627r006 pos=201-214 term=IDPO:00056 ec=ECO:0006220 pmid=24997597,56.72492857142857
disprot|DP02673r005 pos=1-18 term=IDPO:00056 ec=ECO:0005670 pmid=26305948,61.37944444444444
disprot|DP02738r002 pos=1225-1239 term=IDPO:00056 ec=ECO:0006220 pmid=21247903,67.0
disprot|DP02925r008 pos=3995-4020 term=IDPO:00056 ec=ECO:0006208 pmid=32526208,83.68673076923076
disprot|DP02993r004 pos=16-29 term=IDPO:00056 ec=ECO:0006196 pmid=33219127,66.28328571428571
disprot|DP03195r009 pos=1167-1179 term=IDPO:00056 ec=ECO:0005670 pmid=30100359,67.73953846153846
disprot|DP03313r002 pos=2-38 term=IDPO:00056 ec=ECO:0006165 pmid=20375315,59.79864864864865
disprot|DP03409r002 pos=1-130 term=IDPO:00056 ec=ECO:0006204 pmid=24616519,82.2080375
disprot|DP03457r005 pos=1-17 term=IDPO:00056 ec=ECO:0006236 pmid=18984590,66.77188235294118
disprot|DP03517r002 pos=508-520 term=IDPO:00056 ec=ECO:0006220 pmid=8072525,65.36346153846154
disprot|DP03601r003 pos=501-516 term=IDPO:00056 ec=ECO:0005670 pmid=32022687,66.3186875
disprot|DP03670r005 pos=94-121 term=IDPO:00056 ec=ECO:0006165 pmid=32817423,86.62914285714285
disprot|DP03885r006 pos=403-419 term=IDPO:00056 ec=ECO:0006220 pmid=29990496,61.700941176470586
