ID,metapredict_scores
Myc proto-oncogene protein_DI1000001_A,0.8767142857142858
Protein E6_DI1020001_B,0.8578181818181818
Early E1A 32 kDa protein_DI1020002_B,0.5790952380952381
Transcription factor p65_DI1000005_A,0.5756153846153846
Histone H3_DI1010001_B,0.8671428571428572
Geminin_DI1000006_B,0.86575
E3 SUMO-protein ligase PIAS2_DI1000007_B,0.82092
Lymphocyte cytosolic protein 2_DI1010002_B,0.8821818181818183
Cellular tumor antigen p53_DI1000009_B,0.7573333333333333
Tegument protein VP16_DI1120001_B,0.5773714285714285
T-cell surface glycoprotein CD3 epsilon chain_DI1000010_B,0.7557499999999999
DNA repair protein complementing XP-A cells_DI1000011_B,0.7437857142857143
Middle T antigen_DI1020003_P,0.6380909090909092
T-cell surface glycoprotein CD3 zeta chain_DI1000012_B,0.7989285714285714
DNA-directed RNA polymerase II subunit RPB1_DI1000013_B,0.8562307692307692
Adenomatous polyposis coli protein_DI1000014_B,0.8476315789473684
Splicing factor 1_DI1000015_B,0.8536923076923078
RNA polymerase II subunit A C-terminal domain phosphatase_DI1000016_B,0.8463373493975903
Nucleoprotein_DI1400001_B,0.44125
DNA repair protein complementing XP-C cells_DI1000017_B,0.32005882352941173
Signal transducer and activator of transcription 1-alpha/beta_DI1010005_B,0.744688888888889
Adapter molecule crk_DI1010006_B,0.831076923076923
Signal transducer and activator of transcription 2_DI1010007_B,0.7400350877192983
Histone H3.2_DI1000018_B,0.8404285714285715
Activating transcription factor 7-interacting protein 1_DI1000019_B,0.8916511627906977
Histone H4_DI1000020_B,0.7166
Death domain-associated protein 6_DI1000021_B,0.7402272727272727
Histone H3.1_DI1000022_B,0.875
Nuclear transcription factor RelA_DI1100001_B,0.6287428571428572
Bcl2 antagonist of cell death_DI1100002_B,0.5096666666666666
Hypoxia-inducible factor 1-alpha_DI1000023_A,0.5678333333333333
Hypoxia-inducible factor 1-alpha_DI1010010_B,0.5702549019607843
Cbp/p300-interacting transactivator 2_DI1010013_A,0.8098181818181818
Histone H4_DI1100003_P,0.8824500000000001
Cytoplasmic dynein 1 intermediate chain_DI1100004_C,0.8213125
Amyloid beta A4 protein_DI1000027_B,0.7135428571428571
T-cell surface glycoprotein CD4_DI1000028_D,0.4481304347826087
T-cell surface glycoprotein CD3 zeta chain_DI1020006_B,0.6515
Protein CASC5_DI1000032_E,0.680433962264151
RING1 and YY1-binding protein_DI1000035_B,0.4265135135135135
Secreted effector protein EspF(U)_DI1020007_B,0.6073541666666666
Polyglutamine-binding protein 1_DI1000036_B,0.8742558139534883
Neural Wiskott-Aldrich syndrome protein_DI1000037_B,0.9170833333333334
Nuclear inhibitor of protein phosphatase 1_DI1000039_B,0.7365818181818182
Histone-lysine N-methyltransferase 2A_DI1000041_A,0.7554285714285714
Calreticulin_DI1000043_B,0.6820833333333334
Envelope protein (Fragment)_DI1120002_P,0.7152222222222222
Troponin I  fast skeletal muscle_DI1110001_B,0.5216470588235295
Eukaryotic peptide chain release factor GTP-binding subunit ERF3A_DI1010022_A,0.7694736842105264
Adenomatous polyposis coli protein_DI1000044_B,0.5849375
Cbp/p300-interacting transactivator 2_DI1010023_A,0.19634090909090907
Histone H3_DI1100006_P,0.863
DNA repair protein RAD2_DI1100007_B,0.8513653846153846
Vacuolar protein sorting-associated protein 27_DI1100008_A,0.3262083333333333
Epstein-Barr nuclear antigen 2_DI1120003_B,0.5418461538461539
DNA repair protein RAD4_DI1100009_B,0.8540952380952381
Antitoxin CcdA_DI2200001_C,0.3184166666666666
Histone H3.3_DI1110003_B,0.8453333333333333
Transcription factor p65_DI1010024_B,0.6573030303030303
DNA repair protein complementing XP-C cells_DI1000045_A,0.846576923076923
Troponin I  fast skeletal muscle_DI1000046_I,0.4775294117647059
Adenomatous polyposis coli protein_DI1000049_C,0.6895081967213115
