ID,metapredict_scores
Antitoxin ParD_MF2120001_A,88.07657831325301
Uncharacterized protein_MF2120002_A,81.54567272727272
Putative_MF2120003_A,75.22689393939395
Plasmid partition protein ParG_MF2120004_A,78.23732894736843
Parathyroid hormone_MF2100001_A,90.66844117647058
60S acidic ribosomal protein P1_MF2200001_A,67.75564035087719
60S acidic ribosomal protein P2_MF2200001_B,65.12904310344828
Nuclear receptor coactivator 3_MF2201001_A,80.3844255319149
CREB-binding protein_MF2201001_B,81.23471186440678
Disks large homolog 1_MF4210001_A,91.72511666666666
Peripheral plasma membrane protein CASK_MF4210001_B,85.55751785714286
Cellular tumor antigen p53_MF2201002_B,65.4341224489796
Nuclear receptor coactivator 1_MF2201003_B,76.73433898305085
Antitoxin RelJ_MF4120001_A,89.91246153846153
Transcriptional repressor arc_MF2140001_A,83.98171698113208
TrpR family protein YerC/YecD_MF2120005_A,74.33207476635515
Protein CopG_MF2120006_A,86.13273333333333
Protein UmuD_MF2120007_A,90.34269444444445
Transthyretin_MF4100001_A,85.62643307086614
Transthyretin_MF4110001_A,90.943375
Transthyretin (Precursor)_MF4110002_A,89.03726050420167
InaD-like protein_MF4201001_A,88.45659677419356
MAGUK p55 subfamily member 5_MF4201001_B,80.85873333333333
InaD-like protein_MF4201002_A,85.02551807228916
MAGUK p55 subfamily member 5_MF4201002_C,79.9052638888889
Protein lin-7 homolog B_MF4210002_A,89.24431578947369
LIN-7 (Fragment)_MF2201004_A,88.93703773584905
Peripheral plasma membrane protein CASK_MF2201004_B,80.69592592592592
Protein E7_MF2140002_A,77.89823076923076
Rho-associated protein kinase 2_MF2110001_B,91.54085915492958
Trp operon repressor_MF2120008_A,87.09198148148147
Geminin_MF2100003_A,82.91753012048193
Regulatory protein GAL4_MF2110002_A,64.78442105263157
Spindle pole body component SPC42_MF2110003_A,94.95881081081082
Uncharacterized protein_MF2120009_A,90.06401449275363
Geminin_MF2200002_A,91.57551282051283
