ID,metapredict_scores
Antitoxin ParD_MF2120001_A,0.2740602409638554
Uncharacterized protein_MF2120002_A,0.23821818181818183
Putative_MF2120003_A,0.3944848484848485
Plasmid partition protein ParG_MF2120004_A,0.31596052631578947
Parathyroid hormone_MF2100001_A,0.14276470588235293
60S acidic ribosomal protein P1_MF2200001_A,0.4573771929824561
60S acidic ribosomal protein P2_MF2200001_B,0.5505948275862069
Nuclear receptor coactivator 3_MF2201001_A,0.29017021276595745
CREB-binding protein_MF2201001_B,0.30198305084745763
Disks large homolog 1_MF4210001_A,0.10128333333333334
Peripheral plasma membrane protein CASK_MF4210001_B,0.12310714285714286
Cellular tumor antigen p53_MF2201002_B,0.5693673469387756
Nuclear receptor coactivator 1_MF2201003_B,0.24347457627118643
Antitoxin RelJ_MF4120001_A,0.2532747252747253
Transcriptional repressor arc_MF2140001_A,0.2359433962264151
TrpR family protein YerC/YecD_MF2120005_A,0.315
Protein CopG_MF2120006_A,0.16848888888888888
Protein UmuD_MF2120007_A,0.13487962962962963
Transthyretin_MF4100001_A,0.14748031496062994
Transthyretin_MF4110001_A,0.110875
Transthyretin (Precursor)_MF4110002_A,0.09236134453781512
InaD-like protein_MF4201001_A,0.11825806451612902
MAGUK p55 subfamily member 5_MF4201001_B,0.0922
InaD-like protein_MF4201002_A,0.1866144578313253
MAGUK p55 subfamily member 5_MF4201002_C,0.3386805555555556
Protein lin-7 homolog B_MF4210002_A,0.10763157894736841
LIN-7 (Fragment)_MF2201004_A,0.0829056603773585
Peripheral plasma membrane protein CASK_MF2201004_B,0.1815
Protein E7_MF2140002_A,0.1239423076923077
Rho-associated protein kinase 2_MF2110001_B,0.1579718309859155
Trp operon repressor_MF2120008_A,0.13995370370370372
Geminin_MF2100003_A,0.23344578313253014
Regulatory protein GAL4_MF2110002_A,0.16531578947368422
Spindle pole body component SPC42_MF2110003_A,0.10117567567567567
Uncharacterized protein_MF2120009_A,0.1083695652173913
Geminin_MF2200002_A,0.10846153846153847
Multicilin_MF2200002_B,0.07943835616438356
Cortexillin-1_MF2110004_A,0.12566336633663366
Cell division protein ZapA_MF2120010_A,0.2547642276422764
Cell division protein ZapB_MF2120011_A,0.08822222222222222
Autophagy protein 16_MF2110005_A,0.18618666666666667
Cartilage matrix protein_MF3110001_A,0.22014893617021275
Fibritin_MF3140001_A,0.5981681415929204
Pulmonary surfactant-associated protein D_MF3100001_A,0.172675
Major outer membrane lipoprotein_MF3120001_A,0.6003392857142857
UPF0134 protein MPN_010_MF3120002_A,0.09668235294117647
Myotonin-protein kinase_MF3100002_A,0.11334567901234568
DNA-Binding protein G5P_MF2140003_A,0.21683908045977013
Head morphogenesis protein_MF2140004_A,0.26076288659793817
Tetrabrachion (Precursor)_MF4130001_A,0.14103846153846153
Virion-associated protein_MF4140001_A,0.3512403100775194
Cartilage oligomeric matrix protein_MF5110001_A,0.11965217391304347
Transcription factor AP-1_MF2110006_A,0.10344186046511629
TSC22 domain family protein 3_MF2110007_A,0.343
Transcription factor VBP_MF2110008_A,0.10582051282051282
SH2B adapter protein 2_MF2100004_A,0.12555072463768116
Neural Wiskott-Aldrich syndrome protein_MF2202001_A,0.21627692307692306
Secreted effector protein EspF(U)_MF2202001_C,0.6073541666666666
EspA_MF2220001_A,0.28295833333333337
L0052_MF2220001_B,0.16009473684210526
Cell division protein ZapA_MF2120012_A,0.14882558139534882
5-hydroxyisourate hydrolase_MF2120013_A,0.23163309352517988
5-hydroxyisourate hydrolase_MF4120002_A,0.1458108108108108
5-hydroxyisourate hydrolase_MF4120003_A,0.08435537190082645
Transthyretin-like protein_MF4120004_A,0.09269827586206897
5-hydroxyisourate hydrolase_MF4120005_A,0.11471052631578947
5-hydroxyisourate hydrolase_MF4110003_A,0.12498319327731092
General control protein GCN4_MF4110004_A,0.09791176470588236
Regulatory protein rop_MF2120014_A,0.1536984126984127
Breakpoint cluster region protein_MF4100002_A,0.22191666666666665
Phd protein_MF2120015_A,0.30231506849315065
Cell division protein ZapA_MF4120006_A,0.16032692307692306
Uncharacterized protein_MF2120016_A,0.3068426966292135
Regulatory protein mnt_MF4140002_A,0.21019354838709678
Inhibitor of growth protein 4_MF2100005_A,0.056692307692307695
Core histone macro-H2A.1_MF2201005_C,0.20735
Histone H2B type 3-A_MF2201005_D,0.37756349206349205
Histone H2B 1.1_MF2201006_H,0.3361951219512195
Histone H2B 1.1_MF2211001_D,0.3531111111111111
Histone H2A.Z_MF2200003_C,0.34272519083969466
Histone H2B type 1-J_MF2200003_D,0.37944961240310077
Histone H2A type 1_MF2210001_C,0.23107758620689656
Histone H2A-IV_MF2210002_A,0.2815968992248062
Histone H2B 5_MF2210002_B,0.3776825396825397
Histone H2A_MF2201007_C,0.2835703125
Histone H2B type 1-B_MF2201007_D,0.36815322580645166
Histone H2A_MF2210003_C,0.23586178861788618
Histone H2B_MF2210003_D,0.33339837398373984
Histone H2A.V_MF2200004_C,0.33593129770992364
Histone H3.1_MF2200005_A,0.32153956834532377
Histone H4_MF2200005_B,0.26666981132075473
Histone H3.2_MF2200006_A,0.32403597122302163
Histone H3.1t_MF2200007_A,0.320568345323741
Histone H3.3_MF2200008_A,0.3238776978417266
Histone H4_MF2210004_B,0.25001941747572815
