ID,metapredict_scores
nucleoplasmin NLS_FC00001_155-170,0.580265
SV40 NLS_FC00002_126-132,0.22522740112994352
Heat shock protein 90 TRP_FC00003_727-732,0.22340300546448089
T-cell factor 4 (Tcf4) catenin binding domain_FC00004_23-29,0.7555234248788368
Dihydropyridine receptor (DHPR)_FC00005_724-760,0.40598756333486874
Cystic fibrosis transmembrane conductance regulator (CFTR) channelregulatory (R) domain_FC00006_654-838,0.21476148648648646
Protein phosphatase inhibitor 2 (I-2)_FC00007_1-11,0.7065533980582525
Sterile 5 protein (Ste5)_FC00008_298-305,0.4953413304252999
Octamer binding factor 1 (Oct-1)_FC00009_355-379,0.7762516823687752
Cellulase E (chimera)_FC00010_65-116,0.19923850574712643
Myosin VI_FC00011_840-920,0.18911562998405104
Kinase inducible domain of CREB_FC00012_101-120,0.7761039755351682
Heat-shock protein 25 (Hsp25)_FC00013_192-209,0.4728373205741627
αA-crystallin_FC00014_163-173,0.3912947976878613
Measles virus nucleoprotein_FC00015_517-525,0.36745904761904763
RNA polymerase II C terminal domain_FC00016_1451-1733,0.23353144835545295
Proline rich peptides RLP1_FC00017_267-277,0.5242162162162162
IA3 polypeptide_FC00018_33-68,0.6355
Splicing factor 1 (SF1)_FC00019_1-12,0.6105727699530517
Fibronectin binding protein (FnBP) SfbI_FC00020_475-590,0.5925438871473354
Promoter specific factor 1 (SP1) B domain_FC00021_457-480,0.8521872611464968
Elastin_FC00022_1-747,0.8810200803212851
T cell receptor ζ chain_FC00023_61-159,0.5872439024390245
GCN4 transcription factor_FC00024_87-152,0.7005516014234875
EWS transcription factor_FC00025_1-287,0.7978185975609756
Gal4 transcription factor_FC00026_148-881,0.4548376844494892
H1<sup>0</sup> linker histone_FC00027_98-194,0.6627268041237113
Ure2_FC00028_1-89,0.2601723163841808
Sup35_FC00029_1-114,0.3973080291970803
Ribonuclease (RNase I)_FC00030_39-43,0.44261538461538463
Thymosine β4_FC00031_13-43,0.817590909090909
Ciboulot_FC00032_25-58,0.5447751937984496
Myelin basic protein (MBP)_FC00033_15-24,0.869016
L7/L12 ribosomal protein_FC00034_32-51,0.1366694214876033
UPF2_FC00035_1130-1166,0.38095597484276733
p27<sup>Kip1</sup>_FC00036_105-198,0.7023636363636364
Adenomatous polyposis coli protein (APC)_FC00037_1499-1528,0.7909623637003166
E-cadherin_FC00038_636-653,0.2632262443438914
Ebola virus nucleoprotein_FC00039_439-492,0.3650920162381597
Cyclin-dependent kinase inhibitor Sic1_FC00040_1-90,0.713080985915493
UmuD&#39;2_FC00041_25-37,0.08966906474820144
Protein Max_FC00042_1-18,0.49169375000000004
Methyl CpG binding protein 2 (MeCP2)_FC00043_1-75,0.7775534979423868
Thymine-DNA glycosylase (TDG)_FC00044_340-410,0.44335365853658537
Neurogenin 1 (NGN1)_FC00045_90-104,0.6238354430379747
Aplysia LAPS18-like protein (ApLLP)_FC00046_1-11,0.5036833333333334
Ets-1 transcription factor_FC00047_244-300,0.32422954545454546
Single-stranded DNA binding protein (SSB)_FC00048_113-177,0.4625
Positive cofactor 4 (PC4)_FC00049_1-60,0.5399921259842521
Facilitates chromatin transcripton (FACT)_FC00051_1-186,0.3739363762102351
High-mobility protein group B1 (HMGB1)_FC00052_186-215,0.4287441860465116
Homeotic protein ultrabithorax (Ubx)_FC00053_1-216,0.6793007712082262
NK2 homeodomain (NKX3.1)_FC00054_86-95,0.8680926694329184
Peroxisome proliferator-activated receptor gamma (PPAR-γ)_FC00055_9-110,0.25635247524752475
DNA helicase II UvrD_FC00056_645-720,0.11110833333333334
Telomere-binding protein subunit β_FC00057_224-385,0.39545194805194805
Plasmid partition protein KorB_FC00058_253-293,0.4035670391061453
Plasmid partition protein ParB_FC00059_271-274,0.24497597597597598
Replication protein A (RPA)_FC00060_106-180,0.3518
iκBα_FC00062_67-206,0.23508832807570976
Nonstructural protein 5A (NS5A)_FC00064_200-228,0.20349418797741614
preS1 Hepatitis B virus_FC00065_11-44,0.6130067415730337
Nucleoprotein Ntail (N)_FC00066_464-473,0.34778571428571425
Nucleoprotein Ntail (N)_FC00067_464-473,0.3432368421052632
Vesicle associated membrane protein C (VAPC)_FC00068_1-60,0.3130905349794239
p65 (RelA)_FC00069_425-439,0.5049234972677595
Nucleophosmin (NPM1)_FC00070_225-242,0.5404149659863946
Leucine-rich repeat-containing protein 16A (LRRC16A)_FC00071_1005-1020,0.4072093362509117
Eukaryotic translation initiation factor 4E -binding protein 2 (4E-BP2)_FC00072_1-53,0.7071000000000001
Cup_FC00073_1-317,0.7527573858549687
c-Myc_FC00074_1-88,0.6428519362186788
Prothymosin α (ProT α)_FC00075_1-29,0.9218828828828828
NF-E2-related factor 2 (Nrf2)_FC00076_41-51,0.622571189279732
AP180_FC00077_623-680,0.6929778024417313
Anhydrin_FC00078_1-86,0.8299302325581395
