ID,metapredict_scores
Myc proto-oncogene protein_DI1000001_A,61.1435
Protein E6_DI1020001_B,59.92727272727273
Early E1A 32 kDa protein_DI1020002_B,70.2507619047619
Transcription factor p65_DI1000005_A,82.2143076923077
Histone H3_DI1010001_B,57.90371428571429
Geminin_DI1000006_B,58.74855
E3 SUMO-protein ligase PIAS2_DI1000007_B,60.607079999999996
Lymphocyte cytosolic protein 2_DI1010002_B,61.82836363636363
Cellular tumor antigen p53_DI1000009_B,69.1989569892473
Tegument protein VP16_DI1120001_B,67.56188571428572
T-cell surface glycoprotein CD3 epsilon chain_DI1000010_B,67.70333333333333
DNA repair protein complementing XP-A cells_DI1000011_B,65.5185
Middle T antigen_DI1020003_P,63.58263636363636
T-cell surface glycoprotein CD3 zeta chain_DI1000012_B,60.594857142857144
DNA-directed RNA polymerase II subunit RPB1_DI1000013_B,58.782
Adenomatous polyposis coli protein_DI1000014_B,53.91826315789474
Splicing factor 1_DI1000015_B,55.09192307692308
RNA polymerase II subunit A C-terminal domain phosphatase_DI1000016_B,60.86275903614458
Nucleoprotein_DI1400001_B,75.6993
DNA repair protein complementing XP-C cells_DI1000017_B,80.31217647058824
Signal transducer and activator of transcription 1-alpha/beta_DI1010005_B,67.0562
Adapter molecule crk_DI1010006_B,66.11753846153846
Signal transducer and activator of transcription 2_DI1010007_B,62.583350877192984
Histone H3.2_DI1000018_B,58.84133333333333
Activating transcription factor 7-interacting protein 1_DI1000019_B,57.57251162790698
Histone H4_DI1000020_B,67.72126666666666
Death domain-associated protein 6_DI1000021_B,61.27690909090909
Histone H3.1_DI1000022_B,58.4245
Nuclear transcription factor RelA_DI1100001_B,66.36372857142858
Bcl2 antagonist of cell death_DI1100002_B,74.12944444444445
Hypoxia-inducible factor 1-alpha_DI1000023_A,64.53214285714286
Hypoxia-inducible factor 1-alpha_DI1010010_B,59.14317647058824
Cbp/p300-interacting transactivator 2_DI1010013_A,55.781454545454544
Histone H4_DI1100003_P,58.49085
Cytoplasmic dynein 1 intermediate chain_DI1100004_C,65.2045625
Amyloid beta A4 protein_DI1000027_B,82.16768571428572
T-cell surface glycoprotein CD4_DI1000028_D,73.55513043478261
T-cell surface glycoprotein CD3 zeta chain_DI1020006_B,70.68322222222223
Protein CASC5_DI1000032_E,69.52698113207546
RING1 and YY1-binding protein_DI1000035_B,78.27227027027027
Secreted effector protein EspF(U)_DI1020007_B,74.86460416666667
Polyglutamine-binding protein 1_DI1000036_B,57.26213953488372
Neural Wiskott-Aldrich syndrome protein_DI1000037_B,60.214
Nuclear inhibitor of protein phosphatase 1_DI1000039_B,72.6296
Histone-lysine N-methyltransferase 2A_DI1000041_A,60.86733333333333
Calreticulin_DI1000043_B,65.03716666666666
Envelope protein (Fragment)_DI1120002_P,72.3201111111111
Troponin I  fast skeletal muscle_DI1110001_B,73.20876470588234
Eukaryotic peptide chain release factor GTP-binding subunit ERF3A_DI1010022_A,62.793368421052634
Adenomatous polyposis coli protein_DI1000044_B,69.7121875
Cbp/p300-interacting transactivator 2_DI1010023_A,83.36425
Histone H3_DI1100006_P,56.572562500000004
