ID,metapredict_scores
Q9JN69|sequence|(S)-2-hydroxypropylphosphonic acid epoxidase OS=Pseudomonas syringae OX=317 GN=hppE Disorder_Order_2,66.8234
Q9JN69|sequence|(S)-2-hydroxypropylphosphonic acid epoxidase OS=Pseudomonas syringae OX=317 GN=hppE Disorder_Order_3,57.255583333333334
P42639|sequence|Tropomyosin alpha-1 chain OS=Sus scrofa (Pig) OX=9823 GN=TPM1 Disorder_Order_2,90.28536470588236
P03726|sequence|Peptidoglycan transglycosylase gp16 OS=Escherichia phage T7 (Bacteriophage T7) OX=10760 Disorder_Order_2,62.19615384615384
P03726|sequence|Peptidoglycan transglycosylase gp16 OS=Escherichia phage T7 (Bacteriophage T7) OX=10760 Disorder_Order_3,58.79116666666667
P03726|sequence|Peptidoglycan transglycosylase gp16 OS=Escherichia phage T7 (Bacteriophage T7) OX=10760 Disorder_Order_4,61.107936329588014
P03726|sequence|Peptidoglycan transglycosylase gp16 OS=Escherichia phage T7 (Bacteriophage T7) OX=10760 Disorder_Order_5,90.87377435897436
P03726|sequence|Peptidoglycan transglycosylase gp16 OS=Escherichia phage T7 (Bacteriophage T7) OX=10760 Disorder_Order_6,90.15941206030152
P03726|sequence|Peptidoglycan transglycosylase gp16 OS=Escherichia phage T7 (Bacteriophage T7) OX=10760 Disorder_Order_7,85.1291061452514
P03726|sequence|Peptidoglycan transglycosylase gp16 OS=Escherichia phage T7 (Bacteriophage T7) OX=10760 Disorder_Order_8,75.67164
A0A0H3JQV2|sequence OS=Staphylococcus aureus (strain Mu50 / ATCC 700699) OX=158878 Disorder_Order_2,62.622
P03700|sequence|Integrase OS=Escherichia phage lambda (Bacteriophage lambda) OX=10710 GN=int Disorder_Order_2,60.699666666666666
P20839|sequence|Inosine-5'-monophosphate dehydrogenase 1 OS=Homo sapiens (Human) OX=9606 GN=IMPDH1 Disorder_Order_2,78.56488461538461
P20839|sequence|Inosine-5'-monophosphate dehydrogenase 1 OS=Homo sapiens (Human) OX=9606 GN=IMPDH1 Disorder_Order_3,65.4088125
P20839|sequence|Inosine-5'-monophosphate dehydrogenase 1 OS=Homo sapiens (Human) OX=9606 GN=IMPDH1 Disorder_Order_4,66.55171999999999
P20839|sequence|Inosine-5'-monophosphate dehydrogenase 1 OS=Homo sapiens (Human) OX=9606 GN=IMPDH1 Disorder_Order_5,64.1154
P20839|sequence|Inosine-5'-monophosphate dehydrogenase 1 OS=Homo sapiens (Human) OX=9606 GN=IMPDH1 Disorder_Order_6,63.7038
Q12449|sequence|Hsp90 co-chaperone AHA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast) OX=559292 GN=AHA1 Disorder_Order_2,64.82383333333333
Q9KPS1|sequence|Na(+)-translocating NADH-quinone reductase subunit A OS=Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961) OX=243277 GN=nqrA Disorder_Order_2,63.015142857142855
E9RAH5|sequence|Thioredoxin reductase gliT OS=Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSA1100) (Aspergillus fumigatus) OX=330879 GN=gliT Disorder_Order_1,64.892
Q82H41|sequence OS=Streptomyces avermitilis (strain ATCC 31267 / DSM 46492 / JCM 5070 / NBR14893 / NCIMB 12804 / NRRL 8165 / MA-4680) OX=227882 GN=avaR1 Disorder_Order_1,75.82536363636363
A0A0H2V277|sequence|YhfZ_C domain-containing protein OS=Shigella flexneri OX=623 GN=yhfZ Disorder_Order_1,60.665000000000006
O53623|sequence OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 Disorder_Order_1,71.11781818181818
P16686|sequence|Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH OS=Escherichia coli (strain K12) OX=83333 GN=phnH Disorder_Order_1,61.007
P50106|sequence|DNA-directed RNA polymerase I subunit RPA14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast) OX=559292 GN=RPA14 Disorder_Order_1,61.039090909090916
Q7CPA2|sequence|Divalent-cation tolerance protein CutA OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287 GN=cutA Disorder_Order_1,63.966
Q9BV81|sequence|ER membrane protein complex subunit 6 OS=Homo sapiens (Human) OX=9606 GN=EMC6 Disorder_Order_1,59.693636363636365
Q57471|sequence|Transcriptional repressor TraM OS=Rhizobium radiobacter (Agrobacterium tumefaciens) (Agrobacteriuradiobacter) OX=358 GN=traM Disorder_Order_1,63.39099999999999
Q5SIT3|sequence OS=Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579) OX=300852 Disorder_Order_1,72.57027272727272
P38383|sequence|Protein translocase subunit SecE OS=Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579) OX=300852 GN=secE Disorder_Order_1,77.059
R4P353|sequence|Prolyl oligopeptidase OS=Gypsophila vaccaria OX=39387 GN=Pcy1 Disorder_Order_1,63.69618181818182
R4P353|sequence|Prolyl oligopeptidase OS=Gypsophila vaccaria OX=39387 GN=Pcy1 Disorder_Order_2,66.80608333333333
