ID,metapredict_scores
P10721|sequence|Mast/stem cell growth factor receptor Kit OS=Homo sapiens (Human) OX=9606 GN=KIT Disorder_Disorder_2,56.954928571428574
Q12368|sequence|23 kDa U4/U6.U5 small nuclear ribonucleoprotein component OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast) OX=559292 GN=SNU23 Disorder_Disorder_2,63.18238461538461
Q12368|sequence|23 kDa U4/U6.U5 small nuclear ribonucleoprotein component OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast) OX=559292 GN=SNU23 Disorder_Disorder_3,65.17577083333333
Q02821|sequence|Importin subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast) OX=559292 GN=SRP1 Disorder_Disorder_3,62.50085714285715
Q02821|sequence|Importin subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast) OX=559292 GN=SRP1 Disorder_Disorder_4,57.930933333333336
Q9HXA6|sequence|Tox-REase-5 domain-containing protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JC14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 Disorder_Disorder_2,69.165375
Q9HXA6|sequence|Tox-REase-5 domain-containing protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JC14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 Disorder_Disorder_3,57.54444
P54274|sequence|Telomeric repeat-binding factor 1 OS=Homo sapiens (Human) OX=9606 GN=TERF1 Disorder_Disorder_2,64.61839393939394
Q9BPX5|sequence|Actin-related protein 2/3 complex subunit 5-like protein OS=Homo sapiens (Human) OX=9606 GN=ARPC5L Disorder_Disorder_2,66.60935185185184
O02696|sequence|Phosphoinositide 3-kinase regulatory subunit 5 OS=Sus scrofa (Pig) OX=9823 GN=PIK3R5 Disorder_Disorder_2,57.23311764705882
